Licencia,Nombre del Arquero,Federación,Categoría,Temporada,T1,T2,T3,T4,T5,Media
10044,Pedro García Segura,MUR,Desnudo Senior,2021 - 2022,478,463,473,445,,464.8
10172,Concepción Coca Barreales,CTB,Recurvo Veterano (+50),2017 - 2018,0,426,434,442,0,434
10172,Concepción Coca Barreales,CTB,Desnudo Veterano (+50),2019 - 2020,279,271,279,186,0,253.8
10172,Concepción Coca Barreales,CTB,Tradicional Senior,2022 - 2023,0,465,441,0,440,448.7
10444,Antonio Perez Mudarra,CLM,Recurvo Veterano (+50),2017 - 2018,343,0,327,350,0,340
10548,Manuel Guerra Prian,AND,Recurvo Senior,2020 - 2021,537,539,475,0,0,517
10548,Manuel Guerra Prian,AND,Recurvo Senior,2021 - 2022,553,554,555,524,,546.5
10668,Jose Antonio García Luzón,CLE,Compuesto Senior,2021 - 2022,537,,533,521,536,531.8
10668,Jose Antonio García Luzón,CLE,Compuesto Senior,2022 - 2023,525,530,0,510,0,521.7
10738,Manuel Candela Jimenez,VAL,OPEN RECURVO Veterano (+50),2018 - 2019,0,503,517,0,546,522
10738,Manuel Candela Jimenez,VAL,OPEN RECURVO Senior,2017 - 2018,518,0,546,520,526,527.5
10738,Manuel Candela Jimenez,VAL,Recurvo Senior,2019 - 2020,507,520,513,527,0,516.8
10825,Jairo Serna Pinto,PVA,Recurvo Senior,2018 - 2019,544,550,539,519,0,538
10825,Jairo Serna Pinto,PVA,Recurvo Senior,2017 - 2018,526,548,528,544,0,536.5
10825,Jairo Serna Pinto,PVA,Recurvo Senior,2019 - 2020,0,546,529,544,0,539.7
11022,José Juan Sigüenza Lozano,MUR,Recurvo Senior,2022 - 2023,449,0,0,291,398,379.3
11144,Jose Victoria Miñana,VAL,Recurvo Senior,2017 - 2018,516,515,0,478,498,501.8
11389,Jose Luis Cela De Hoyos,CLE,Tradicional Senior,2017 - 2018,220,0,233,242,218,228.3
11389,Jose Luis Cela De Hoyos,CLE,Tradicional Senior,2020 - 2021,0,516,535,528,527,526.5
11389,Jose Luis Cela De Hoyos,CLE,Tradicional Senior,2021 - 2022,,540,,508,541,529.7
11389,Jose Luis Cela De Hoyos,CLE,Tradicional Senior,2022 - 2023,511,512,534,502,510,513.8
12047,Raimundo Garcia Moneo,PVA,Recurvo Veterano (+50),2019 - 2020,551,541,0,537,0,543
12047,Raimundo Garcia Moneo,PVA,Recurvo Senior,2022 - 2023,0,525,454,537,0,505.3
12068,Adriano Romero Basoa,GAL,Recurvo Veterano (+50),2018 - 2019,0,474,514,465,0,484.3
12068,Adriano Romero Basoa,GAL,Recurvo Veterano (+50),2019 - 2020,508,512,433,488,520,492.2
12077,Xaquín Mira García,GAL,Compuesto Senior,2019 - 2020,577,0,577,581,582,579.3
12077,Xaquín Mira García,GAL,Compuesto Senior,2022 - 2023,579,578,574,578,573,576.4
12556,Eduardo Gil Mendoza,CLM,Recurvo Senior,2022 - 2023,494,475,468,0,0,479
12757,Borja Goñalons Meca,BAL,Compuesto Senior,2018 - 2019,0,0,560,546,557,554.3
12757,Borja Goñalons Meca,BAL,Recurvo Senior,2017 - 2018,0,501,539,512,0,517.3
12757,Borja Goñalons Meca,BAL,Compuesto Senior,2019 - 2020,572,0,569,573,555,567.3
12767,Jose Ignascio Catalán Gil,ARA,Compuesto Veterano (+50),2017 - 2018,581,0,582,582,585,582.5
12767,Jose Ignascio Catalán Gil,ARA,Compuesto Veterano (+50),2021 - 2022,0,568,569,576,0,571
12767,Jose Ignascio Catalán Gil,ARA,Compuesto Veterano (+50),2022 - 2023,574,579,0,571,567,572.8
12822,Ander Telleria Telleria,PVA,Compuesto Veterano (+50),2018 - 2019,559,0,561,564,0,561.3
12822,Ander Telleria Telleria,PVA,Compuesto Veterano (+50),2017 - 2018,521,550,551,553,0,543.8
12822,Ander Telleria Telleria,PVA,Compuesto Veterano (+50),2019 - 2020,554,555,566,558,0,558.3
12822,Ander Telleria Telleria,PVA,Compuesto Veterano (+50),2020 - 2021,568,0,562,563,0,564.3
12822,Ander Telleria Telleria,PVA,Compuesto Veterano (+50),2021 - 2022,559,572,571,561,561,564.8
13042,Joan García Marchena,CAT,Desnudo Veterano (+50),2021 - 2022,487,503,500,,,496.7
13047,Vicente De Miguel Pernas,MAD,Compuesto Veterano (+50),2020 - 2021,448,442,490,459,0,459.8
13047,Vicente De Miguel Pernas,MAD,Compuesto Veterano (+50),2021 - 2022,521,534,536,529,525,529
13093,Jose Luis Iriarte Larumbe,NAV,Longbow Veterano (+50),2018 - 2019,263,246,248,261,0,254.5
13093,Jose Luis Iriarte Larumbe,NAV,Longbow Senior,2017 - 2018,248,253,270,266,0,259.3
13093,Jose Luis Iriarte Larumbe,NAV,Longbow Senior,2019 - 2020,234,238,240,253,0,241.3
13093,Jose Luis Iriarte Larumbe,NAV,Longbow Senior,2021 - 2022,,503,513,511,,509
13093,Jose Luis Iriarte Larumbe,NAV,Longbow Senior,2022 - 2023,519,530,517,543,0,527.3
13200,Miguel Rial Salgado,PVA,Compuesto Veterano (+50),2018 - 2019,547,555,555,556,0,553.3
13200,Miguel Rial Salgado,PVA,Compuesto Veterano (+50),2017 - 2018,563,559,556,0,0,559.3
13200,Miguel Rial Salgado,PVA,Compuesto Veterano (+50),2019 - 2020,552,558,562,548,0,555
13200,Miguel Rial Salgado,PVA,Compuesto Veterano (+50),2020 - 2021,561,0,555,556,0,557.3
13200,Miguel Rial Salgado,PVA,Compuesto Veterano (+50),2021 - 2022,543,553,552,0,0,549.3
13207,Enric Ferré Auqué,CAT,Tradicional Veterano (+50),2017 - 2018,126,0,156,157,0,146.3
13271,Juan Ignacio Del Moral Arauzo,CLE,Compuesto Senior,2017 - 2018,573,570,0,573,573,572.3
13271,Juan Ignacio Del Moral Arauzo,CLE,Compuesto Senior,2019 - 2020,0,579,578,572,0,576.3
13271,Juan Ignacio Del Moral Arauzo,CLE,Compuesto Senior,2022 - 2023,568,569,561,573,567,567.6
13662,Maria José Jiménez Fortea,CAT,Longbow Veterano (+50),2018 - 2019,145,157,168,0,0,156.7
13662,Maria José Jiménez Fortea,CAT,Longbow Veterano (+50),2017 - 2018,191,180,0,0,183,184.7
13718,Fernando Gomez Diaz,PVA,Compuesto Senior,2017 - 2018,552,562,0,558,0,557.3
13723,Julen Velasco Quintanilla,PVA,Compuesto Veterano (+50),2018 - 2019,566,569,575,563,0,568.3
13723,Julen Velasco Quintanilla,PVA,Compuesto Veterano (+50),2019 - 2020,567,566,554,565,0,563
13723,Julen Velasco Quintanilla,PVA,Compuesto Veterano (+50),2020 - 2021,574,0,562,567,0,567.7
13723,Julen Velasco Quintanilla,PVA,Compuesto Veterano (+50),2021 - 2022,566,0,562,575,561,566
13723,Julen Velasco Quintanilla,PVA,Compuesto Senior,2022 - 2023,572,566,547,565,0,562.5
13734,Juan Dopico Lopez,GAL,Recurvo Veterano (+50),2018 - 2019,491,499,0,529,0,506.3
13734,Juan Dopico Lopez,GAL,Recurvo Veterano (+50),2022 - 2023,0,481,0,465,474,473.3
13799,Manuel Adolfo Alonso Lopez,AST,Compuesto Senior,2018 - 2019,0,572,570,0,570,570.7
13799,Manuel Adolfo Alonso Lopez,AST,Compuesto Senior,2017 - 2018,573,0,578,577,585,578.3
13799,Manuel Adolfo Alonso Lopez,AST,Compuesto Senior,2019 - 2020,562,569,572,562,559,564.8
13800,Juan Jesus Alonso Lopez,AST,Recurvo Senior,2018 - 2019,0,557,563,556,542,554.5
13800,Juan Jesus Alonso Lopez,AST,Recurvo Senior,2017 - 2018,544,0,533,0,548,541.7
13800,Juan Jesus Alonso Lopez,AST,Compuesto Senior,2019 - 2020,0,553,0,554,562,556.3
13800,Juan Jesus Alonso Lopez,AST,Compuesto Senior,2022 - 2023,553,561,562,554,0,557.5
13993,Manuel Angel Mendez Ordoñez,AST,Recurvo Senior,2018 - 2019,0,514,505,504,503,506.5
14118,Julio Santalices García-Tuñon,MAD,Desnudo Veterano (+50),2020 - 2021,0,364,326,400,0,363.3
14190,Hector Sanz Furelo,CLE,Compuesto Senior,2017 - 2018,552,558,551,0,0,553.7
14190,Hector Sanz Furelo,PVA,Compuesto Senior,2021 - 2022,557,558,554,553,0,555.5
14199,Carlos Paniagua Susinos,PVA,Compuesto Senior,2018 - 2019,574,0,587,575,0,578.7
14199,Carlos Paniagua Susinos,CLE,Compuesto Senior,2017 - 2018,583,578,582,0,0,581
14199,Carlos Paniagua Susinos,PVA,Compuesto Veterano (+50),2019 - 2020,582,0,573,579,0,578
14199,Carlos Paniagua Susinos,PVA,Compuesto Veterano (+50),2021 - 2022,577,589,578,583,584,582.2
14395,Josep Sanchez Lamarca,CAT,Longbow Veterano (+50),2017 - 2018,210,211,204,0,206,207.8
14395,Josep Sanchez Lamarca,CAT,Longbow Veterano (+50),2019 - 2020,214,213,211,0,0,212.7
14428,Enrique Ayerra Ayerdi,NAV,Compuesto Veterano (+50),2018 - 2019,565,559,561,555,0,560
14428,Enrique Ayerra Ayerdi,NAV,Compuesto Senior,2017 - 2018,557,563,553,548,0,555.3
14428,Enrique Ayerra Ayerdi,NAV,Compuesto Senior,2022 - 2023,0,548,558,554,0,553.3
14429,Luis Iribarren Irigoyen,NAV,Compuesto Senior,2022 - 2023,551,560,548,555,0,553.5
14470,Hernan Freire Suarez,AST,Recurvo Senior,2019 - 2020,0,536,552,546,422,514
14485,Paulina Rodríguez Herrera,CAN,Compuesto Veterano (+50),2017 - 2018,0,531,510,527,0,522.7
